code,name,price,cjb30,b30v100,veab,precip,m5,m10,m20,mainflow,jumbo,small,vol,lv,sig,phase,mode,matching,grade,greason,score
600508,上海能源,11.84,1050.8,0.56,680.4,-2.12,-105594323,-93946422,-90386100,-241910,-18379959,5846198,放量,低,游资情绪,观望,资金观望型,,D,回避：资金观望,7.3
600505,西昌电力,10.54,-82.5,0.9,-47.1,-2.79,-6961623,-23796277,-69003699,67854,1233606,-71058,缩量,低,情绪退潮,吸筹,资金撤退型,机构吸筹+盈利(关注),C,谨慎：资金流入未验证业绩,23.1
600511,国药股份,26.57,-52.3,0.77,-15.9,-8.14,-39825641,-53053002,-57969794,-2273829,-860651,715314,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-2.7
600512,腾达建设,2.07,12.2,0.22,-6.6,-12.61,-33543759,-36846024,-29124741,1448770,1430320,-4240672,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-4.2
600513,联环药业,16.11,-49.9,0.18,-54.0,-5.32,-45852093,-6387464,-127698281,-10989641,-10152757,19350208,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-1.8
600506,统一股份,16.15,80.7,0.74,152.6,6.21,67088823,73582962,62928960,12920982,4093791,-8584290,放量,中,主力偏强放量,进场,趋势转多型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,90.1
600515,海南机场,2.76,38.9,1.37,0.8,-0.06,-772445,-17743649,-2069406,25248350,15373409,-51134873,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.0
600510,黑牡丹,7.04,-2.7,1.47,4.8,6.45,22589556,31219421,10388159,-7573701,-6796455,291708,缩量,中,主力惜售,进场,短线抢筹型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,86.2
600516,方大炭素,5.28,-54.9,2.94,-32.1,-2.11,-20104177,-151988204,-170158710,7003970,3008397,4422463,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-0.7
600518,康美药业,1.39,-61.2,0.83,-40.2,2.52,26854516,-3918498,26748532,-8056065,-10436318,-2563827,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.8
600517,国网英大,5.1,-16.3,1.16,7.0,-3.33,-21959405,-30677412,-47405244,-12829785,-7527101,7524096,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.1
