code,name,industry
sz002248,华东数控,机械设备
sz002249,大洋电机,电力设备
sz002250,联化科技,基础化工
sz002251,步步高,商贸零售
sz002252,上海莱士,医药生物
sz002253,川大智胜,计算机
sz002254,泰和新材,基础化工
sz002255,海陆重工,电力设备
sz002256,兆新股份,公用事业
sz002257,立立电子,-
sz002258,利尔化学,基础化工
sz002259,升达林业,公用事业
sz002261,拓维信息,计算机
sz002262,恩华药业,医药生物
sz002263,大东南,基础化工
sz002264,新 华 都,传媒
sz002265,建设工业,汽车
sz002266,浙富控股,环保
sz002267,陕天然气,公用事业
sz002268,电科网安,计算机
sz002269,美邦服饰,纺织服饰
sz002270,华明装备,电力设备
sz002271,东方雨虹,建筑材料
sz002272,川润股份,机械设备
sz002273,水晶光电,电子
sz002274,华昌化工,基础化工
sz002275,桂林三金,医药生物
sz002276,万马股份,电力设备
sz002277,友阿股份,商贸零售
sz002278,神开股份,机械设备
sz002279,久其软件,计算机
sz002281,光迅科技,通信
sz002282,博深股份,机械设备
sz002283,天润工业,汽车
sz002284,亚太股份,汽车
sz002285,世联行,房地产
sz002286,保龄宝,农林牧渔
sz002287,奇正藏药,医药生物
sz002289,宇顺电子,电子
sz002290,禾盛新材,家用电器
sz002291,遥望科技,传媒
sz002292,奥飞娱乐,传媒
sz002293,罗莱生活,纺织服饰
sz002294,信立泰,医药生物
sz002295,精艺股份,有色金属
sz002296,辉煌科技,通信
sz002297,博云新材,国防军工
sz002298,中电鑫龙,计算机
sz002299,圣农发展,农林牧渔
sz002300,太阳电缆,电力设备
sz002301,齐心集团,轻工制造
sz002302,西部建设,建筑材料
sz002303,美盈森,轻工制造
sz002304,洋河股份,食品饮料
sz002307,北新路桥,建筑装饰
sz002309,中利集团,电力设备
sz002310,东方新能,公用事业
sz002311,海大集团,农林牧渔
sz002312,川发龙蟒,基础化工
sz002313,日海智能,通信
sz002314,南山控股,房地产
sz002315,焦点科技,商贸零售
sz002316,亚联发展,综合
sz002317,众生药业,医药生物
sz002318,久立特材,钢铁
sz002319,乐通股份,基础化工
sz002320,海峡股份,交通运输
sz002321,华英农业,农林牧渔
sz002322,理工能科,计算机
sz002324,普利特,基础化工
sz002326,永太科技,基础化工
sz002327,富安娜,纺织服饰
sz002328,新朋股份,汽车
sz002329,皇氏集团,食品饮料
sz002330,得利斯,食品饮料
sz002331,皖通科技,计算机
sz002332,仙琚制药,医药生物
sz002333,罗普斯金,建筑材料
sz002334,英威腾,机械设备
sz002335,科华数据,电力设备
sz002337,赛象科技,机械设备
sz002338,奥普光电,国防军工
sz002339,积成电子,电力设备
sz002340,格林美,电力设备
sz002342,巨力索具,机械设备
sz002343,慈文传媒,传媒
sz002344,海宁皮城,商贸零售
sz002345,潮宏基,纺织服饰
sz002346,柘中股份,电力设备
sz002347,泰尔股份,机械设备
sz002348,高乐股份,轻工制造
sz002349,精华制药,医药生物
