code,name,price,cjb30,b30v100,veab,precip,m5,m10,m20,mainflow,jumbo,small,vol,lv,sig,phase,mode,matching,grade,greason,score
003029,吉大正元,17.33,86.4,0.94,201.5,7.98,80920565,81387409,70964027,2503003,3154836,-7539528,放量,中,主力偏强放量,进场,趋势转多型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,30.7
003037,三和管桩,5.72,-45.9,1.6,24.8,-4.18,-5111515,-12208897,-7786493,151216,842344,177486,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-1.4
003039,顺控发展,12.42,142.2,0.26,91.2,-0.74,-7808933,-54978972,22540715,-10050588,-4653773,5023301,放量,低,游资情绪,观望,长线吸筹型,,D,回避：资金观望,7.8
003040,楚天龙,15.74,531.9,1.3,-23.9,-8.47,-367667269,19084648,510470113,1849564,-20436324,-34690753,放量,低,游资情绪,观望,高位分歧型,,D,回避：资金观望,5.2
003041,真爱美家,38.2,-45.2,0.35,4.5,-1.27,-3827646,1227221,1831297,2094028,2368290,-2515718,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-0.4
003036,泰坦股份,55.45,-18.2,1.02,-7.7,1.13,23110039,-57183867,139944416,15206227,3270357,-28148340,缩量,低,情绪退潮,进场,长线吸筹型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,72.4
003042,中农联合,14.06,16.1,0.59,-39.2,-3.1,-8297534,-17219701,-17677409,939248,1281133,-1640003,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.0
003038,鑫铂股份,10.42,-27.1,0.38,8.6,-0.68,-1203175,-1677251,-13726666,4397482,5244690,-3433254,缩量,低,情绪退潮,吸筹,资金撤退型,纯资金炒作(亏损风险),C,谨慎：纯资金炒作,3.8
003043,华亚智能,63.17,-62.8,4.9,-28.7,1.86,24609792,-146527740,-154482678,-14795813,-7873582,21602642,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,0.6
600000,浦发银行,9.06,-43.0,1.01,-19.1,-5.0,-161169220,-358563625,-447032864,-17640139,-9756903,21632669,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.7
600004,白云机场,7.6,-52.4,1.45,-31.4,-5.0,-14671184,-38979367,-67603197,4197914,1693109,-5907847,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.7
600008,首创环保,2.73,-34.1,1.21,-0.9,-3.02,-30145473,-43310734,-19173878,5118425,3962001,-8762322,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-1.0
003816,中国广核,4.25,-15.5,0.66,-18.3,3.12,69380717,27399583,-270959809,11070130,29155097,-2064536,缩量,低,情绪退潮,吸筹,资金观望型,资金+业绩共振(双击候选),B,关注：资金+业绩共振,65.0
600009,XD上海机,22.47,-27.2,1.82,-10.6,-6.87,-57094854,7210514,-40326402,-70199069,-86859584,29114997,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-2.3
600015,华夏银行,6.27,-41.2,1.5,-36.0,-8.35,-191161218,-87021992,-622235969,-31541367,-19202142,5529867,缩量,低,情绪退潮,观望,资金观望型,,D,回避：资金观望,-2.8
600010,包钢股份,2.11,-51.0,0.41,-30.3,-4.15,-132637517,-272031873,-365086861,-42412779,-41888644,38225882,缩量,低,情绪退潮,观望,资金撤退型,,D,回避：资金撤退,-1.4
